chembl_id,organism,pref_name,ligand_ID,pchembl_value,canonical_smiles,year,standard_smiles
CHEMBL1075104,Homo sapiens,Leucine-rich repeat serine/threonine-protein kinase 2,CHEMBL2000029,7.4,Cc1ccccc1c2c(nnn2Cc3ccccc3)c4ccc5[nH]nc(N)c5c4,,Cc1ccccc1-c1c(-c2ccc3[nH]nc(N)c3c2)nnn1Cc1ccccc1
CHEMBL1163125,Homo sapiens,Bromodomain-containing protein 4,CHEMBL3986608,7.25,CCOC1=CC(=O)N(C)C=C1c2cc(ccc2Oc3ccc(F)cc3F)N=C(O)CN=C(O)c4ccccc4,2016.0,CCOc1cc(=O)n(C)cc1-c1cc(N=C(O)CN=C(O)c2ccccc2)ccc1Oc1ccc(F)cc1F
CHEMBL1741186,Homo sapiens,Nuclear receptor ROR-gamma,CHEMBL3402138,6.36,CCC(=O)N1CCCC(CN2c3ccccc3N(Cc4ccc(cc4)C(O)(C(F)(F)F)C(F)(F)F)S2(=O)=O)C1,2015.0,CCC(=O)N1CCCC(CN2c3ccccc3N(Cc3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)S2(=O)=O)C1
CHEMBL1744525,Homo sapiens,Nicotinamide phosphoribosyltransferase,CHEMBL3908273,7.23,FC(F)(F)c1ccc(cn1)S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4s3)nc2,2016.0,O=C(NCc1ccc(S(=O)(=O)c2ccc(C(F)(F)F)nc2)cn1)c1cc2ccncc2s1
CHEMBL1800,Homo sapiens,Corticotropin releasing factor receptor 1,CHEMBL3652036,7.42,Cc1cccnc1NC[C@@H]2CC[C@H](CC2)NC(=O)c3cc(ccc3Cl)C(F)(F)F,2013.0,Cc1cccnc1NC[C@H]1CC[C@H](NC(=O)c2cc(C(F)(F)F)ccc2Cl)CC1
CHEMBL1811,Homo sapiens,Prostanoid EP1 receptor,CHEMBL214639,6.17,OCc1cn(Cc2cc(Br)ccc2OCc3ccccc3)nc1C(=O)O,2006.0,O=C(O)c1nn(Cc2cc(Br)ccc2OCc2ccccc2)cc1CO
CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,CHEMBL179652,7.82,CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4Cc5ccccc5)c3)c2cc1NC(=O)\C=C\CN(C)C,2005.0,CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C
CHEMBL1827,Homo sapiens,Phosphodiesterase 5A,CHEMBL3654375,8.68,COc1ccc(COc2nc(ncc2C(=O)NCc3ccc(F)cc3)N4CCC5(CC5)C4)cc1Cl,2015.0,COc1ccc(COc2nc(N3CCC4(CC4)C3)ncc2C(=O)NCc2ccc(F)cc2)cc1Cl
CHEMBL1829,Homo sapiens,Histone deacetylase 3,CHEMBL3938982,6.42,CCSc1ccccc1C(=NCCCCCC(=Nc2ccccc2N)O)O,2016.0,CCSc1ccccc1C(O)=NCCCCCC(O)=Nc1ccccc1N
CHEMBL1833,Homo sapiens,Serotonin 2b (5-HT2b) receptor,CHEMBL14726,7.7,COc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4)nc3)c2cc1C(F)(F)F,2000.0,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3)nc1)CC2
CHEMBL1835,Homo sapiens,Thromboxane-A synthase,CHEMBL542302,6.68,Cl.OC(=O)CCc1ccc(Cc2cccnc2)cc1,1981.0,O=C(O)CCc1ccc(Cc2cccnc2)cc1
CHEMBL1844,Homo sapiens,Macrophage colony stimulating factor receptor,CHEMBL265432,7.75,CN1CCN(CC1)c2ccc(NC(=O)c3oc(cc3)C#N)c(c2)C4=CCCCC4,2008.0,CN1CCN(c2ccc(NC(=O)c3ccc(C#N)o3)c(C3=CCCCC3)c2)CC1
CHEMBL1855,Homo sapiens,Gonadotropin-releasing hormone receptor,CHEMBL363900,7.48,COc1ccc(Nc2nc(cs2)C3=C(C)N(Cc4c(F)cccc4F)C(=O)N(C[C@H](N)c5ccccc5)C3=O)cc1OC,2004.0,COc1ccc(Nc2nc(-c3c(C)n(Cc4c(F)cccc4F)c(=O)n(C[C@H](N)c4ccccc4)c3=O)cs2)cc1OC
CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL,CHEMBL3689711,8.3,CCc1cc(Nc2cc3ccc(cc3cn2)c4c(Cl)cccc4Cl)nc(n1)N5CCOCC5,2014.0,CCc1cc(Nc2cc3ccc(-c4c(Cl)cccc4Cl)cc3cn2)nc(N2CCOCC2)n1
CHEMBL1865,Homo sapiens,Histone deacetylase 6,CHEMBL3233755,8.39,CC(C)c1cc(C(=O)N2CCc3onc(C(=O)NCCCCCCC(=O)NO)c3C2)c(O)cc1O,2014.0,CC(C)c1cc(C(=O)N2CCc3onc(C(=O)NCCCCCCC(=O)NO)c3C2)c(O)cc1O
CHEMBL1867,Homo sapiens,Alpha-2a adrenergic receptor,CHEMBL319530,9.3,COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5occc5)CC4)ON=C3c2cc1OC,2004.0,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4ccco4)CC3)[C@@H]1CO2
CHEMBL1868,Homo sapiens,Vascular endothelial growth factor receptor 1,CHEMBL241314,6.48,Cc1cc(NC(=O)c2c(NCc3ccncc3)cnn2C)ccc1C(F)(F)F,2007.0,Cc1cc(NC(=O)c2c(NCc3ccncc3)cnn2C)ccc1C(F)(F)F
CHEMBL1871,Homo sapiens,Androgen Receptor,CHEMBL268589,7.33,CC1CN(C)c2cc3C(=CC(=O)Nc3cc2O1)C(F)(F)F,2007.0,CC1CN(C)c2cc3c(C(F)(F)F)cc(=O)[nH]c3cc2O1
CHEMBL1898,Homo sapiens,Serotonin 1b (5-HT1b) receptor,CHEMBL115415,6.21,CN(C)CCc1c[nH]c2ccc(cc12)C3=CCN(C)CC3,2003.0,CN(C)CCc1c[nH]c2ccc(C3=CCN(C)CC3)cc12
CHEMBL1899,Homo sapiens,Serotonin 3a (5-HT3a) receptor,CHEMBL599012,7.15,COc1cccc2c(nn(C)c12)C(=O)NC3C[C@@H]4CCC[C@@H](C3)N4C,2010.0,COc1cccc2c(C(=O)NC3C[C@@H]4CCC[C@@H](C3)N4C)nn(C)c12
CHEMBL1906,Homo sapiens,Serine/threonine-protein kinase RAF,CHEMBL451523,6.06,COc1c(NC(=O)Nc2ccc(c3ccc(CN4CCOCC4)nc3)c5ccccc25)cc(cc1NS(=O)(=O)C)C(C)(C)C,2009.0,COc1c(NC(=O)Nc2ccc(-c3ccc(CN4CCOCC4)nc3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O
CHEMBL1908,Homo sapiens,Cytochrome P450 11B1,CHEMBL1209556,6.25,CC(C)CC1n2cncc2CN(Cc3ccc(cc3)C(F)(F)F)S1(=O)=O,2010.0,CC(C)CC1n2cncc2CN(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O
CHEMBL1908389,Homo sapiens,Mitogen-activated protein kinase kinase kinase 12,CHEMBL3729369,8.7,CC(=O)N1C[C@@H]2[C@H](C1)[C@@H]2c3cc(nc(n3)N4CC5CC4C5)c6cnc(N)c(OC(F)F)c6,2014.0,CC(=O)N1C[C@@H]2[C@H](c3cc(-c4cnc(N)c(OC(F)F)c4)nc(N4CC5CC4C5)n3)[C@@H]2C1
CHEMBL1913,Homo sapiens,Platelet-derived growth factor receptor beta,CHEMBL1969942,6.3,Fc1cccc(NC(=O)Nc2ccc(cc2)c3ccc4cn[nH]c4c3)c1,,O=C(Nc1ccc(-c2ccc3cn[nH]c3c2)cc1)Nc1cccc(F)c1
CHEMBL1914,Homo sapiens,Butyrylcholinesterase,CHEMBL3753957,9.32,COc1cccc2cc(CN(CCCCCCNc3c4CCCCc4nc5ccccc35)Cc6oc7c(OC)cccc7c6)oc12,2016.0,COc1cccc2cc(CN(CCCCCCNc3c4c(nc5ccccc35)CCCC4)Cc3cc4cccc(OC)c4o3)oc12
CHEMBL1936,Homo sapiens,Stem cell growth factor receptor,CHEMBL2152288,6.84,Nc1cc(NS(=O)(=O)c2cccc(c2)C(F)(F)F)cc(c1)c3cnc4[nH]cc(c5ccncc5)c4c3,2012.0,Nc1cc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)cc(-c2cnc3[nH]cc(-c4ccncc4)c3c2)c1
